The next event ID to use is : ,,,,,F,088,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,All entries need a short headline,"Descriptions need to be accessible to a general audience, spell out acronyms and be 70 words or less",,,,Image Information,,,,,,Oral History Excerpts Data,,,,,Additional Information,Linked Events Information,
NG,F070,FALSE,069,070,1997,First report of C.O.D.D. in UK,"Contagious Ovine Digital Dermatitis (CODD) was first reported in the UK. The disease was initially described as a severe form of footrot, however in 1999 CODD was given its current name. The disease is now understood to contribute to 30% of lameness cases in sheep.",45,Animal Health and Veterinary Medicine,1,R070,N/A,"Photo of Mother Sheep and Their Lambs on a Field, Cilan Uchaf, United Kingdom",Adrian Dorobantu,Photo by Adrian Dorobantu from Pexels,https://www.pexels.com/photo/photo-of-mother-sheep-and-their-lambs-on-a-field-2127967/,,,,,,,1941 Discovery of the bacterial cause of Footrot in Sheep; 1955 Footrot Eradication trials and propaganda campaign; 2003 Routine foot trimming shown to increase prevalence of footrot,F003; F028; F076
JB,F071,FALSE,070,071,1999,Agenda 2000,"Under 'Agenda 2000' reforms divided the Common Agricultural Policy into two: production support and rural development. Farmers still received support from the European Union for cereals, milk and milk products, beef etc., and major arable crops, such as, cereals and oilseeds, under a new set of systems, but the agenda changed. Rather than the focus being as economic, now it became rather more social. It started addressing a need to sustain communities and the environment. Rural development measures were introduced and included diversification, the setting up of groups for producers and support for young farmers. Agri-environment schemes became compulsory for every member state.",103,Policy Events,3,R071,P PAD B PH2/313,Wheat Harvest,Peter Adams,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110394250,,,,,,,1973 Britain joined the European Economic Community (EEC) ,F052
KS,F072,FALSE,071,072,2000,Red Tractor Scheme ,"In 2000, the farm and food industries established the non-profit Assured Foods Standards company with a 'Red Tractor' logo to represent the British Farm Standard Voluntary Assurance Scheme. Pulling together several assurance schemes that had emerged during the food scares of the 1990s, e.g. 'Mad Cow Disease'/BSE, it focused on farm to pack traceability, and high-welfare standards. Since 2000, to get a Red Tractor logo, farmers have had to adhere to a range of detailed standards, including hygiene, environmental, animal-health and welfare standards. For livestock, these address the typical production practices of the industry and are specific to the animal (cows, poultry, sheep, pigs etc.), but aim to go beyond the UK or EU minimum welfare standards, e.g. on livestock housing, shelter, handling, feed, water, and transportation. In 2018-2019 it reviewed its standards and revised its inspection regime.  ",138,Production Practices,2,R072,N/A,,Elle Larsson,Field Project,N/A,,,,,,"https://www.redtractor.org.uk/choose-site; https://assurance.redtractor.org.uk/who-we-are/history; https://www.fwi.co.uk/business/compliance/red-tractor-to-tighten-on-farm-inspection-regime ;  this ruling on Red Tractor's TV advertising, https://www.asa.org.uk/rulings/assured-food-standards-a18-465829.html; this link from Compassion in World Farming on other assurance and labelling schemes https://www.ciwf.org.uk/your-food/know-your-labels/ ",1986 BSE,F065; F073; F081
AW,F073,FALSE,072,073,2001,Creation of the Food Standards Agency,"Following BSE and other high-profile events involving human deaths from food-borne illness, the government created a new Food Standards Agency, with responsibility for protecting the public's health and consumer interests in relation to food. Quality Assurance standards, indicated by logos such as the RSPCA's Freedom Food, Soil Association's Organic Standard, and the Red Tractor remained voluntary, i.e. farmers could choose to sign up and be inspected by the schemes, but were not required by law to do so.",78,Policy Events,3,R073,,,,,,,,,,,,1986 BSE,F065; F072; F081
AW,F074,FALSE,073,074,2001,Worst ever UK Foot and Mouth Disease epidemic,"FMD reappeared in Britain in 2001, for only the second time since the 1967-68 epidemic. Before livestock movements were halted, it had spread far and wide. Unpractised in FMD management, and in ignorance of earlier problems encountered with slaughter, MAFF insisted on the continued application of this century-old policy. Approximately 4 million animals were slaughtered, the vast majority of them healthy, and the countryside was closed for months, causing huge losses to the tourist industry.",75,Animal Health and Veterinary Medicine,2,R074,N/A,"Brow Top. Ascending from Fylingthorpe, North Yorkshire during the 2001 foot-and-mouth disease period.",Ben Gamble,Ben Gamble,https://commons.wikimedia.org/wiki/File:FMD_note.jpg,,,,,,,1967 Worst Foot and Mouth Disease outbreak of the 20th century,F045
JB,F075,FALSE,074,075,2002,"Dissolution of  Ministry of Agriculture, Fisheries and Food (MAFF) and creation of Department for the Environment, Food and Rural Affairs (DEFRA)","In 2002, MAFF was transformed into the Department for the Environment, Food and Rural Affairs. The move was precipitated by the perceived failure of MAFF to recognise that the 2001 foot and mouth disease epidemic was not simply a problem for agriculture but for the rural economy as a whole. It enabled the government to signal a break with former structures and ways of working. ",65,Policy Events,2,R075,N/A,Westminster,Marianna,Marianna via Pexel,https://www.pexels.com/photo/big-ben-structure-near-white-concrete-structure-89432/,,,,,,"Ward, N., Donaldson, A., & Lowe, P. (2004). Policy Framing and Learning the Lessons from the UK’s Foot and Mouth Disease Crisis. Environment and Planning C: Government and Policy, 22(2), 291–306. https://doi.org/10.1068/c0209s
",2001 Worst Ever FMD Epidemic,F074
NG,F076,FALSE,075,076,2003,Routine foot trimming shown to increase prevalence of footrot  ,Scientists demonstrated that the routine trimming of sheep's feet was associated with a higher prevalence of footrot. This caused experts to start advising against a practice formerly regarded as  a mark of good sheep husbandry. ,35,Animal Health and Veterinary Medicine,1,R076,P 2FW PH2/1179/1,Black and white photograph of a sheep's foot being treated for foot rot. 20 May 1971 [published 19 Jan p. 95],Keith Huggett,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/Details/archive/110367147,,,,,,,1941 Discovery of the bacterial cause of Footrot in Sheep; 1955 Footrot Eradication trials and propaganda campaign; 1997 First outbreak of C.O.D.D. in UK,F003; F028; F070
KS,F077,FALSE,076,077,2007,Extreme weather: flooding,"Due to heavy rainfall, severe flooding occurred across the UK throughout June and July. This had a significant impact across all agricultural sectors. Livestock drowned on flooded pastures, huge quantities of hay and feed stored in flooded buildings were ruined causing further livestock losses, winter feed was lost before it could be harvested, and thousands of gallons of milk had to be poured away as tankers could not collect it. ",70,Production Practices,3,R077,N/A,Bingley Floods,Chris Gallagher,Photo by Chris Gallagher on Unsplash,https://unsplash.com/photos/0PHUAtg_2CQ,,,,,,,,
JB,F078,FALSE,077,078,2016,Brexit Referendum,"In a referendum on 23 June (also known as the EU referendum, the European referendum and the Brexit referendum) the United Kingdom voted to leave the European Union having major implications for agriculture policy.",34,Policy Events,1,R078,N/A,EU and UK Flags,Rocco Dipoppa,Photo by Rocco Dipoppa on Unsplash,https://unsplash.com/photos/yxDhneWz3vk,,,,,,,1973 Britain joined the European Economic Community (EEC) ,F052; F087
LH,F079,FALSE,078,079,2006,UK Animal Welfare Act,"The 2006 Animal Welfare Act, which applies to England and Wales, places a responsibility on people looking after animals to ensure that they provide five welfare needs. They must provide a suitable environment and a suitable diet, animals need to be able to exhibit normal behaviour patterns, they need to be housed with or separated from other animals as appropriate to their needs, and they need to be protected from pain, suffering, injury or disease. The Act replaced the 1911 Protection of Animals Act, and includes tougher penalties (both fines and jail terms) for acts of neglect and cruelty.",99,Policy Events,2,R080,N/A,,Brett Jordan,Photo by Brett Jordan from Pexels,https://www.pexels.com/photo/herd-of-hen-840111/,,,,,,,,
NM,F080,FALSE,079,080,2019,African Swine Fever Outbreak in China,,0,Animal Health and Veterinary Medicine,3,R081,N/A,"This digitally-colorized, negative-stained transmission electron microscopic (TEM) image depicts some of the ultrastructural morphology of the A/CA/4/09 Swine Flu virus.",CDC,Photo by CDC on Unsplash,https://unsplash.com/photos/x-V7ww6LaaM,,,,,,,,
BC,F081,FALSE,080,081,2013,Horsemeat Scandal,"Horsemeat was first discovered in burgers being sold in British supermarkets in January 2013. Whilst not providing a food safety issue it highlighted the lack of traceability in supply chains, particularly the beef supply chain that was thought to be more secure after the BSE scandal. The subsequent Elliott Review highlighted the role of food crime within this, and detailed a number of measures government and industry could take to make supply chains less vulnerable.",75,Production practices,3,R082,N/A,,Angele J,Photo by Angele J from Pexels,https://www.pexels.com/photo/food-healthy-dinner-lunch-128401/,,,,,,,,F065; F072; F073
BC,F082,FALSE,081,082,2014,First Veganuary in the UK,"Veganuary, a campaign to encourage individuals to give up animal products for the whole month of January, first launched in 2014. Since the campaign began participation has nearly doubled each year with almost 400,000 sign ups in the UK in 2020. The campaign aims to make veganism more visable and accessible, including driving up vegan food provisioning. ",57,Socio-cultural trends,3,R083,N/A,,Vegan Liftz,Photo by Vegan Liftz on Unsplash,https://unsplash.com/photos/HTdSuTQ-OP0,,,,,,,,
NM,F083,FALSE,082,083,2016,Launch of BVD Free England,"The launch of a nationwide, voluntary, industry lead BVD eradication scheme in the England. BVD Free works with both farmers and vets, with the aim of eliminating the disease from all cattle in England by 2022.",36,Animal Health and Veterinary Medicine,1,R084,,,,,,,,,,,,,F012; F022; F035; F036; F041; F043; F050; F054; F058; F060; F063; F069
AP,F084,FALSE,083,084,2016,Animal welfare included within United Nations food security definition,In 2016 the United Nations Committee on World Food Security included improvements to farm animal health and welfare in draft policy recommendations on 'Sustainable agricultural development for food security and nutrition: what roles for livestock?'. This was the first time in the UN's history that animal welfare was recognised as part of sustainability policy.,54,Policy Events,3,R085,N/A,,Pixabay,Photo by Pixabay on Pexel,https://www.pexels.com/photo/agriculture-animal-beef-bull-301600/,,,,,,,,
NM,F085,FALSE,084,085,2019,Greggs launches vegan sausage roll,The bakery chain Greggs unveils a new vegan sausage roll as part of their Veganuary celebrations. Was this the moment that veganism stopped being an alternative lifestyle and finally came into the mainstream in the UK? ,36,Socio-cultural trends,3,R086,N/A,,Lisa Fotios,Photo by Lisa Fotios from Pexels,https://www.pexels.com/photo/greggs-sausage-rolls-restaurant-3024532/,,,,,,,,
AP,F086,FALSE,085,086,2019,Contribution of livestock production to climate change debated ,"EAT Lancet Commision (a non-profit organisation established with the goal to transform the global food system) produces a report entitled 'Food, Planet, Health' on the environmental impacts of global food production.  Meanwhile, the Intergovernmental Panel on Climate Change (IPPC) produce a report 'Climate change and land'. Both reports highlight the impacts of livestock raised for food production for increasing climate change.",61,Socio-cultural trends,3,R087,N/A,,Snapwire,Photo by Snapwire from Pexels,https://www.pexels.com/photo/agriculture-animals-cattle-domestic-390025/,,,,,,,,
LH,F087,FALSE,086,087,2020,UK leaves the EU,"The UK formally left the European Union on 31st January 2020. There are a lot of uncertainties about how Brexit will affect the UK's agriculture and food systems. The UK government needs to develop a UK Agricultural Policy to replace the EU's Common Agricultural Policy, at the same time as consulting on a UK Food Policy which looks more widely about how the UK should feed itself. ",67,Policy Events,2,R088,N/A,,Habib Ayoade,Photo by Habib Ayoade on Unsplash,https://unsplash.com/photos/uWfOa8brybM,,,,,,,,F052; F078
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,0,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,,,,,,,,,,,,,,,,,
,,TRUE, , ,,,,,,,,,,,,,,,,,,,,
DO NOT ENTER DATA PAST THIS POINT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,086,,,,,,,,,,,,,,,,,,,,,
